index,categorie_hdv,category_philo_y,category_educ_y,category_body,category_gen
1000,0,1,3,3,2
1001,3,5,4,1,3
1002,0,5,4,0,3
1003,3,2,2,1,4
1004,1,0,1,1,2
1005,2,5,4,5,3
1006,0,3,1,2,2
1007,0,1,1,3,2
1008,3,1,1,3,1
1009,3,0,0,3,0
1010,3,1,1,4,1
1011,3,0,0,5,0
1012,3,0,0,0,0
1013,3,0,3,1,1
1014,3,1,0,0,1
1015,1,1,5,2,2
1016,2,1,0,5,0
1017,3,4,0,5,0
1018,0,5,4,5,3
1019,3,0,1,4,1
1020,2,0,0,5,0
1021,3,0,1,3,1
1022,0,1,5,5,2
1023,3,2,2,1,4
1024,3,4,3,4,1
1025,3,1,1,4,1
1026,3,1,0,3,1
1027,3,4,1,4,1
1028,1,4,3,3,2
1029,0,1,0,3,0
1030,0,1,3,3,2
1031,3,4,1,4,1
1032,0,1,0,5,0
1033,3,2,2,4,4
1034,3,1,0,2,1
1035,0,1,5,0,2
1036,2,3,0,5,0
1037,0,4,1,4,2
1038,3,1,0,0,1
1039,0,1,0,2,0
1040,0,1,5,2,2
1041,0,1,3,3,2
1042,3,1,1,1,1
1043,3,0,1,3,1
1044,0,0,5,0,2
1045,3,0,1,4,1
1046,3,1,1,3,1
1047,3,0,0,2,0
1048,0,1,5,5,2
1049,3,4,3,5,1
1050,2,0,4,2,3
1051,0,0,1,3,2
1052,3,1,3,3,1
1053,3,1,1,4,1
1054,3,0,5,1,1
1055,2,1,0,1,0
1056,5,0,3,1,2
1057,3,4,4,3,1
1058,3,0,0,0,0
1059,2,1,0,2,0
1060,3,1,5,2,1
1061,1,0,0,5,0
1062,1,0,1,1,2
1063,1,3,5,2,2
1064,0,1,0,5,0
1065,0,1,3,5,2
1066,0,1,3,1,2
1067,2,0,0,0,0
1068,2,1,0,5,0
1069,3,1,3,1,1
1070,3,0,1,4,1
1071,0,0,3,5,2
1072,0,1,3,1,2
1073,1,5,4,3,3
1074,3,1,3,5,1
1075,3,1,0,0,1
1076,3,1,1,3,1
1077,1,4,3,1,2
1078,0,1,3,5,2
1079,3,4,0,0,0
1080,3,0,4,5,3
1081,3,1,0,0,1
1082,3,5,4,2,3
1083,0,2,2,4,4
1084,3,0,3,3,1
1085,0,3,0,5,0
1086,1,5,4,1,3
1087,3,1,1,1,1
1088,0,0,0,5,0
1089,0,2,2,4,4
1090,3,1,5,1,1
1091,0,0,0,0,0
1092,0,5,5,1,2
1093,0,1,3,5,2
1094,3,1,0,0,1
1095,3,5,4,1,3
1096,0,5,4,1,3
1097,0,1,5,1,2
1098,3,3,1,4,1
1099,0,1,5,1,2
1100,3,2,2,4,4
1101,0,1,3,1,2
1102,3,4,1,3,1
1103,3,4,5,5,1
1104,0,1,5,3,2
1105,2,0,0,1,0
1106,3,1,1,4,1
1107,3,1,0,3,1
1108,3,2,2,4,4
1109,2,5,4,0,3
1110,2,4,4,3,3
1111,3,4,0,2,0
1112,0,1,0,1,0
1113,3,2,2,3,4
1114,0,2,2,1,4
1115,0,1,3,5,2
1116,0,1,0,5,0
1117,0,4,1,4,2
1118,0,1,3,0,2
1119,3,3,0,5,0
1120,2,0,3,5,2
1121,3,1,3,3,1
1122,3,4,0,5,0
1123,0,1,1,3,2
1124,1,0,5,2,2
1125,3,0,0,1,0
1126,3,1,5,5,1
1127,3,1,1,3,1
1128,0,0,0,3,0
1129,0,1,1,3,2
1130,2,1,0,5,0
1131,3,1,0,0,1
1132,3,1,1,1,1
1133,1,0,0,3,0
1134,1,0,0,3,0
1135,0,1,5,2,2
1136,0,3,3,4,2
1137,2,5,4,5,3
1138,3,1,1,3,1
1139,0,2,2,4,4
1140,3,0,0,3,0
1141,3,2,2,4,4
1142,0,1,0,5,0
1143,0,1,0,5,0
1144,3,4,1,4,1
1145,3,2,2,4,4
